feature_name,source
tag_sweatsale,Tag dummy variable
tag_sweatsss25,Tag dummy variable
tag_t-shirts,Tag dummy variable
tag_teste,Tag dummy variable
tag_tribe,Tag dummy variable
tag_tshirtsale,Tag dummy variable
tag_tshirtss25,Tag dummy variable
tag_tshirtsss25,Tag dummy variable
tag_v100wild,Tag dummy variable
tag_v200linen,Tag dummy variable
tag_vestuarioaw22,Tag dummy variable
tag_vestuárioss22,Tag dummy variable
tag_washedpermanente,Tag dummy variable
collections_25 APRIL ,Collection dummy variable
collections_AW 22'23 - Clothing,Collection dummy variable
collections_AW 22'23 - Collection ,Collection dummy variable
collections_AW 23//24 BOMBAZINE,Collection dummy variable
collections_AW 23//24 BUREL,Collection dummy variable
collections_AW 23//24 CORDURA,Collection dummy variable
collections_AW 23//24 DESERT,Collection dummy variable
collections_AW 23//24 HOODIES,Collection dummy variable
collections_AW 23//24 SHORTS,Collection dummy variable
collections_AW 23//24 SWEATS,Collection dummy variable
collections_AW 23//24 T-SHIRT,Collection dummy variable
collections_AW 23//24 TROUSERS,Collection dummy variable
collections_AW'21 TIMELESS RESISTANCE ,Collection dummy variable
collections_AW'23 // Permanent,Collection dummy variable
collections_AW'23 || All Collection,Collection dummy variable
collections_AW'23 || Workwear,Collection dummy variable
collections_AW23 Sneakers,Collection dummy variable
collections_Accessories,Collection dummy variable
collections_All products,Collection dummy variable
collections_Apparel,Collection dummy variable
collections_Apparel Outlet ,Collection dummy variable
"collections_April 25, 2024 ",Collection dummy variable
collections_BSK 33,Collection dummy variable
collections_BSK 33  Permanent Collection,Collection dummy variable
collections_BSK 33 Permanent,Collection dummy variable
collections_BSK33,Collection dummy variable
collections_Best selling products,Collection dummy variable
collections_Black Friday - WORKWEAR,Collection dummy variable
collections_Black Friday 2023,Collection dummy variable
collections_Bonés,Collection dummy variable
collections_Bonés & Gorros,Collection dummy variable
collections_Breeze Colors,Collection dummy variable
collections_Bsk33 Low Club,Collection dummy variable
collections_Burel,Collection dummy variable
collections_Calçado,Collection dummy variable
collections_Camisas,Collection dummy variable
collections_Clothing,Collection dummy variable
collections_Collaborations ,Collection dummy variable
collections_Cordura,Collection dummy variable
collections_Corduroy,Collection dummy variable
collections_Desert,Collection dummy variable
collections_FTC 86 ,Collection dummy variable
collections_Father's Day ,Collection dummy variable
collections_Father's Day || Gift Guide ,Collection dummy variable
collections_Football Mania ,Collection dummy variable
collections_Football Mountaineering ,Collection dummy variable
collections_Footwear,Collection dummy variable
collections_Fur,Collection dummy variable
collections_Gardening Collection 2025,Collection dummy variable
collections_Hoodie,Collection dummy variable
collections_Hoodies,Collection dummy variable
collections_Hoodies | Permanent Collection,Collection dummy variable
collections_Iconic | Permanent Collection,Collection dummy variable
collections_Jacket,Collection dummy variable
collections_Jackets,Collection dummy variable
collections_Jackets | Permanent Collection,Collection dummy variable
collections_K100,Collection dummy variable
collections_K100 & K200 Linen,Collection dummy variable
collections_K100 & K200 Marine,Collection dummy variable
collections_K100 & K200 Olympics,Collection dummy variable
collections_K100 & K200 Wild Flowers,Collection dummy variable
collections_K100 Burel | Permanent Collection,Collection dummy variable
collections_K100 Canvas | Permanent Collection,Collection dummy variable
collections_K100 Cordura | Permanent Collection,Collection dummy variable
collections_K100 | Permanent Collection,Collection dummy variable
collections_K200,Collection dummy variable
collections_K200 Canvas | Permanent Collection,Collection dummy variable
collections_K200 | Permanent Collection,Collection dummy variable
collections_K230 Tweed,Collection dummy variable
collections_K230 Washed,Collection dummy variable
collections_KIDS || All Collection,Collection dummy variable
collections_Kids,Collection dummy variable
collections_Kids V100,Collection dummy variable
collections_Kids V100 & V200 Linen,Collection dummy variable
collections_Kids V100 & V200 Marine,Collection dummy variable
collections_Kids V100 & V200 Wild Flowers,Collection dummy variable
collections_Kids V200,Collection dummy variable
collections_Kids || Permanent Collection,Collection dummy variable
collections_Meias,Collection dummy variable
collections_Model,Collection dummy variable
collections_Model K100,Collection dummy variable
collections_Mother's Day ,Collection dummy variable
collections_Mother's Day 2024 ,Collection dummy variable
collections_NEW IN // AW23,Collection dummy variable
collections_New In,Collection dummy variable
collections_New products,Collection dummy variable
collections_OG Washed,Collection dummy variable
collections_Outlet,Collection dummy variable
collections_Outlet Apparel ,Collection dummy variable
collections_Outlet BSK33,Collection dummy variable
collections_Outlet Hoodies,Collection dummy variable
collections_Outlet Jacket,Collection dummy variable
collections_Outlet K100,Collection dummy variable
collections_Outlet K100 & K200,Collection dummy variable
collections_Outlet K200,Collection dummy variable
collections_Outlet K230,Collection dummy variable
collections_Outlet K330 & K230,Collection dummy variable
collections_Outlet Kids V100,Collection dummy variable
collections_Outlet Kids V200,Collection dummy variable
collections_Outlet SL250,Collection dummy variable
collections_Outlet STC70,Collection dummy variable
collections_Outlet Sneakers,Collection dummy variable
collections_Outlet Sweats,Collection dummy variable
collections_Outlet T-shirt,Collection dummy variable
collections_Outlet Workwear & Desert Boot,Collection dummy variable
collections_Outlet | Sneakers ,Collection dummy variable
collections_Pants,Collection dummy variable
collections_Perfume,Collection dummy variable
collections_Permanent Apparel + AW22'23,Collection dummy variable
collections_Permanent Collection,Collection dummy variable
collections_Permanent Collection Workwear,Collection dummy variable
