tenant_id,properties,is_identified,created_at,updated_at,person_id_hex
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T18:54:29+01:00', 'shopify_updated_at': '2025-02-12T20:09:51Z', 'shopify_customer_id': 8471505142108, 'shopify_verified_email': True}",True,2025-02-12 19:48:14.654647+00:00,2025-02-12 20:09:55.735412+00:00,32737847446d6e526758704d6a6f74375472617432584f4c447141
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-12T18:48:18Z', 'shopify_updated_at': '2025-02-12T18:48:18Z', 'shopify_customer_id': 23029326971228, 'shopify_verified_email': True}",True,2025-02-12 19:48:18.768484+00:00,2025-02-12 19:48:20.583811+00:00,3273784745436a49537a74737947443452624b5379413337743155
sjstarcorp,"{'shopify_tags': 'EcomSend Popups, ES Popup Name: Welcome Sanjo, Inbox online store chat, POPUP, shopify-forms-190352, Wrote Judge.me email review', 'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T18:51:31+01:00', 'shopify_updated_at': '2025-02-12T19:48:20Z', 'shopify_customer_id': 8471484137820, 'shopify_verified_email': True}",True,2025-02-12 19:48:23.686049+00:00,2025-02-12 19:48:24.909477+00:00,327378474575756377664262783158736d4e38686b6b55426e7577
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-12T18:53:52Z', 'shopify_updated_at': '2025-02-12T18:53:52Z', 'shopify_customer_id': 23029365670236, 'shopify_verified_email': True}",True,2025-02-12 20:16:24.072379+00:00,2025-02-12 20:17:09.929130+00:00,3273784a65387238396c574f764f4c5234305369374b744f6f4b77
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-12T18:48:18Z', 'shopify_updated_at': '2025-02-12T18:48:18Z', 'shopify_customer_id': 23029327003996, 'shopify_verified_email': True}",True,2025-02-12 19:48:12.666388+00:00,2025-02-12 19:48:22.516270+00:00,3273784744544a526d525930786b5a6d5959457a6353414d7a5436
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-12T18:48:07Z', 'shopify_updated_at': '2025-02-12T19:48:18Z', 'shopify_customer_id': 23029325758812, 'shopify_verified_email': True}",True,2025-02-12 19:48:22.091790+00:00,2025-02-12 19:48:22.593040+00:00,32737847456c333662624d4b43556c733035796f6838427675774c
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-12T18:48:18Z', 'shopify_updated_at': '2025-02-12T18:48:18Z', 'shopify_customer_id': 23029327036764, 'shopify_verified_email': True}",True,2025-02-12 19:48:22.855779+00:00,2025-02-12 19:48:24.755516+00:00,32737847456c4c6d6e745362337047504f64716251364e6f32594d
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-12T18:48:23Z', 'shopify_updated_at': '2025-02-12T19:48:51Z', 'shopify_customer_id': 23029327724892, 'shopify_verified_email': True}",True,2025-02-12 19:48:55.074932+00:00,2025-02-12 19:48:57.012580+00:00,32737847497775734d443236316a6b7645575253414a3552733835
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_customer_id': 23043020620124, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-02-28 14:07:58.624292+00:00,2025-02-28 14:08:03.330213+00:00,3274666d6f62576e526e5a535974666f707957465259497762505a
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-03-27T09:14:22Z', 'shopify_updated_at': '2025-03-27T09:14:27Z', 'shopify_customer_id': 23120231432540, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-27 09:14:27.393119+00:00,2025-03-31 17:22:08.725698+00:00,327574545337556647734c366b62356257634c543058664a34474e
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_customer_id': 23039227167068, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-02-28 15:53:04.177466+00:00,2025-02-28 15:53:09.608305+00:00,3274667a6236686235693142656c76716f71436877494173714366
sjstarcorp,"{'city': 'Porto', 'in_eu': True, 'timezone': 'Europe/Lisbon', 'country_iso': 'PT', 'last_session_id': '1a430c32-df18-4c74-8eb1-3b10344e692c', 'first_session_id': '1a430c32-df18-4c74-8eb1-3b10344e692c', 'last_session_timestamp': '2025-02-19T16:53:51Z', 'first_session_timestamp': '2025-02-19T16:53:51Z'}",False,2025-02-19 16:54:02.947249+00:00,2025-02-19 16:54:02.960395+00:00,3274476774734753673642756d3870316454654f624a72446b6331
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T20:28:47+01:00', 'shopify_updated_at': '2025-03-17T11:06:16Z', 'shopify_customer_id': 8472118526300, 'shopify_total_spent': '108.88', 'shopify_orders_count': 2, 'shopify_verified_email': True}",True,2025-03-17 11:00:19.854750+00:00,2025-03-18 10:38:07.321113+00:00,3275525235726a375a524656616f435467314750784a3859423566
sjstarcorp,"{'city': 'Lisbon', 'in_eu': True, 'timezone': 'Europe/Lisbon', 'country_iso': 'PT', 'shopify_tags': 'EcomSend Popups, ES Popup Name: Welcome Sanjo', 'shopify_state': 'disabled', 'last_session_id': 'be3d1ad4-200a-4eae-8748-38041018de72', 'first_session_id': 'be3d1ad4-200a-4eae-8748-38041018de72', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T17:15:56+01:00', 'shopify_updated_at': '2025-02-12T19:42:42Z', 'shopify_customer_id': 8470815899996, 'last_session_timestamp': '2025-03-29T11:35:02Z', 'shopify_verified_email': True, 'first_session_timestamp': '2025-03-29T11:35:02Z'}",True,2025-02-12 19:42:45.426559+00:00,2025-03-29 11:38:24.599378+00:00,32737846594f4c327a4e484231516e4a4b30574b716d7056484f72
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-12T18:49:39Z', 'shopify_updated_at': '2025-03-17T00:25:34Z', 'shopify_customer_id': 23029336605020, 'shopify_total_spent': '55.65', 'shopify_orders_count': 1, 'shopify_verified_email': True}",True,2025-02-12 19:56:03.925046+00:00,2025-03-18 18:50:46.272433+00:00,3273784841683330513848715331766373353074514f7563573272
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-03-29T12:03:06Z', 'shopify_updated_at': '2025-03-29T12:27:06Z', 'shopify_customer_id': 23127326359900, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-29 12:03:45.397104+00:00,2025-04-01 17:55:57.319930+00:00,32757a53487a70634e486751507274575543745233615179366f63
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T20:20:16+01:00', 'shopify_updated_at': '2025-03-17T15:12:52Z', 'shopify_customer_id': 8472055120220, 'shopify_total_spent': '281.25', 'shopify_orders_count': 3, 'shopify_verified_email': True}",True,2025-03-17 15:02:32.546340+00:00,2025-03-18 19:45:45.620305+00:00,3275527559396d53394530696d5568384e373264554c4c41377870
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_customer_id': 8470761898332, 'shopify_total_spent': '52.15', 'shopify_orders_count': 1, 'shopify_verified_email': True}",True,2025-02-24 18:28:49.437883+00:00,2025-02-24 18:29:32.272501+00:00,32745630326c4f63514654636b514b58313655686c4d3476324d42
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-16T11:01:01+01:00', 'shopify_updated_at': '2025-03-16T22:49:06Z', 'shopify_customer_id': 8475813675356, 'shopify_total_spent': '62.55', 'shopify_orders_count': 1, 'shopify_verified_email': True}",True,2025-03-16 22:45:43.888208+00:00,2025-03-18 18:49:39.883406+00:00,3275507a6b7454656d647a774b45384551477445424d7534576e4b
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-03-17T15:43:19Z', 'shopify_updated_at': '2025-03-17T15:43:24Z', 'shopify_customer_id': 23102648254812, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-17 15:43:23.272223+00:00,2025-03-18 19:48:23.842748+00:00,3275527a57395a7a3554783970613263586a69424f714163437948
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-03-26T16:21:34Z', 'shopify_updated_at': '2025-03-26T16:21:38Z', 'shopify_customer_id': 23118476738908, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-26 16:21:39.080508+00:00,2025-03-28 09:54:44.605021+00:00,327572554864304a43424938715a37684f6b7a476438764c766a56
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T19:38:52+01:00', 'shopify_updated_at': '2025-03-26T15:05:43Z', 'shopify_customer_id': 8471810441564, 'shopify_total_spent': '127.14', 'shopify_orders_count': 1, 'shopify_verified_email': True}",True,2025-03-26 14:46:37.238714+00:00,2025-03-26 15:32:30.062401+00:00,327572496a34576a70747557357a5a435a36464b62453439427732
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T17:22:31+01:00', 'shopify_updated_at': '2025-02-24T17:48:40Z', 'shopify_customer_id': 8470853910876, 'shopify_total_spent': '188.90', 'shopify_orders_count': 3, 'shopify_verified_email': True}",True,2025-02-24 17:46:36.298121+00:00,2025-02-27 10:29:30.609119+00:00,3274557575554268764470594c6f794a53567a51344e3552314e58
sjstarcorp,"{'city': 'Angra do Heroísmo', 'in_eu': True, 'timezone': 'Atlantic/Azores', 'country_iso': 'PT', 'shopify_state': 'disabled', 'last_session_id': '67777f1d-015d-4443-8749-5e83e95dd900', 'first_session_id': '7bef5774-1500-4573-9fcc-b121aac1bab1', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T20:31:44+01:00', 'shopify_updated_at': '2025-02-12T19:11:03Z', 'shopify_customer_id': 8472138940764, 'last_session_timestamp': '2025-03-29T13:19:19Z', 'shopify_verified_email': True, 'first_session_timestamp': '2025-03-28T14:28:25Z'}",True,2025-02-12 19:10:06.611901+00:00,2025-03-29 13:22:48.502382+00:00,3273784261464a6a6743705a7565546a714e56614e32367849386e
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-03-17T17:42:45Z', 'shopify_updated_at': '2025-03-17T17:46:09Z', 'shopify_customer_id': 23102816813404, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-17 17:45:11.095111+00:00,2025-03-19 14:26:09.924035+00:00,327553454b5a4e666a7a626356644836496b696b6e65666b736148
sjstarcorp,"{'shopify_tags': 'newsletter, WELCOMESANJO10', 'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-03-16T20:08:32Z', 'shopify_updated_at': '2025-03-17T20:17:22Z', 'shopify_customer_id': 23100760195420, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-17 19:30:07.005563+00:00,2025-03-20 10:50:07.061818+00:00,32755352356b586f326a4247366e61614f7636746d70416b437249
