person_id_hex,is_identified,days_since_creation,days_since_last_update,shopify_state,shopify_currency,shopify_verified_email,shopify_account_age_days,city,country_iso,in_eu,timezone,days_since_last_session
327378474a55473865706a51556769506c647544755559644b645a,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
3273784a67784e4e43445531786c396a797669327466714368706e,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474a4e6f687a644c51394e4b743843697651776b727a4b4a,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474b3243655156525a516c7048416855336d6c4f347a694d,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378474b32537a645043574c673374675561757237393573624f,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474b475462534362306635314172516370364d71596f7759,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847475a6e37424f3045327773585543584f3065764c736337,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378474c4b6d626d6f6172624152756f5a4c3030654a6434556a,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474c5a704e44443865474c7074636a59494373486d4c6447,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474d354558364b4f49474761326d3739623134536d53495a,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378474d384438784c446b754e774d71474355335744555a4875,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474d797866544a56566c61305a6866457173486752795430,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378474e566341686c586e625779643338414a457a576d6a5938,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378474e55733666394b3333316a4369504d5763574e6c496e36,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474e5a6d5a616d3679737862707579383869746b6c4a4a79,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378474e734c73687436753262564c44554a7133327433364c63,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378474f334f66754b636a6d6c6e565a4b5a7756747438764235,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784c473672336144476a4a3957686865644d35703066574d34,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847507047774e50704478586952477367554e5242306c504d,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847506854316330614f33457646474676764c6236344e7853,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378475174787448373851413130327237454961307977533753,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378475230717076435a683379786267646b77464871564a6e74,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784c467957796f504c77484874786837696474454336445147,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847534b4d77623653496a37464b6e43516373565158706562,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784753547331636974416e435370536576646535426874664b,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
3273784a6832694464535778757966624d79384658355341727546,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
3273784a68446749304d573536755562386d70545a37527466796b,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
