product1_id,product1,product2_id,product2,similarity
gid://shopify/Product/7972840472803,DARK GREY SATIN ROBE,gid://shopify/Product/7972841193699,RED SATIN ROBE,1.0
gid://shopify/Product/7972840472803,DARK GREY SATIN ROBE,gid://shopify/Product/8988295725397,SAGE GREEN SATIN & LACE TOP,0.8583483669679668
gid://shopify/Product/7972840472803,DARK GREY SATIN ROBE,gid://shopify/Product/8988326199637,SAGE GREEN SATIN & LACE ROBE,0.8732525721395831
gid://shopify/Product/7972841193699,RED SATIN ROBE,gid://shopify/Product/7972739121379,CHAMPAGNE SATIN PJ SHIRT,1.0
gid://shopify/Product/7972841193699,RED SATIN ROBE,gid://shopify/Product/7972739809507,DARK GREY SATIN PJ SHIRT,0.9509232646372403
gid://shopify/Product/7972841193699,RED SATIN ROBE,gid://shopify/Product/7972740432099,RED SATIN PJ SHIRT,1.0
gid://shopify/Product/7972841193699,RED SATIN ROBE,gid://shopify/Product/7972740858083,PINK SATIN PJ SHIRT,0.9509232646372403
gid://shopify/Product/7972841193699,RED SATIN ROBE,gid://shopify/Product/7972790075619,RED SATIN PJ TROUSERS,1.0
gid://shopify/Product/7972841193699,RED SATIN ROBE,gid://shopify/Product/7972790272227,PINK SATIN PJ TROUSERS,1.0
gid://shopify/Product/7972841193699,RED SATIN ROBE,gid://shopify/Product/7972840472803,DARK GREY SATIN ROBE,1.0
gid://shopify/Product/7972841193699,RED SATIN ROBE,gid://shopify/Product/8988295725397,SAGE GREEN SATIN & LACE TOP,0.8583483669679668
gid://shopify/Product/7972841193699,RED SATIN ROBE,gid://shopify/Product/8988326199637,SAGE GREEN SATIN & LACE ROBE,0.8732525721395831
gid://shopify/Product/8003952115939,SCRUNCHIE,gid://shopify/Product/9475603464533,SS'24 SCRUNCHIE | LAVENDER,0.9865833214565775
gid://shopify/Product/8003952115939,SCRUNCHIE,gid://shopify/Product/9475609952597,SS'24 SCRUNCHIE | S1,0.9865833214565775
gid://shopify/Product/8003952115939,SCRUNCHIE,gid://shopify/Product/9475611623765,SS'24 SCRUNCHIE | S2,0.9769004970399321
gid://shopify/Product/8003952115939,SCRUNCHIE,gid://shopify/Product/9534252417365,SS'24 SCRUNCHIE | S6,0.9865833214565775
gid://shopify/Product/8003952115939,SCRUNCHIE,gid://shopify/Product/9534254842197,SS'24 SCRUNCHIE | S8,0.9865833214565775
gid://shopify/Product/8003952115939,SCRUNCHIE,gid://shopify/Product/9534257496405,SS'24 SCRUNCHIE | S9,0.9865833214565775
gid://shopify/Product/8003952115939,SCRUNCHIE,gid://shopify/Product/9534259396949,SS'24 SCRUNCHIE | S10,0.9865833214565775
gid://shopify/Product/8003952115939,SCRUNCHIE,gid://shopify/Product/9534261526869,SS'24 SCRUNCHIE | S11,0.9865833214565775
gid://shopify/Product/8003952115939,SCRUNCHIE,gid://shopify/Product/9534263820629,SS'24 SCRUNCHIE | S12,0.9865833214565775
gid://shopify/Product/8621403341141,TAPA FRALDAS S1,gid://shopify/Product/8621417955669,TAPA FRALDAS S2,1.0
gid://shopify/Product/8621403341141,TAPA FRALDAS S1,gid://shopify/Product/8621418545493,TAPA FRALDAS S3,0.9780183137339297
gid://shopify/Product/8621403341141,TAPA FRALDAS S1,gid://shopify/Product/8621421592917,TAPA FRALDAS S4,0.9780183137339297
gid://shopify/Product/8621417955669,TAPA FRALDAS S2,gid://shopify/Product/8621403341141,TAPA FRALDAS S1,1.0
gid://shopify/Product/8621417955669,TAPA FRALDAS S2,gid://shopify/Product/8621418545493,TAPA FRALDAS S3,0.9780183137339297
gid://shopify/Product/8621417955669,TAPA FRALDAS S2,gid://shopify/Product/8621421592917,TAPA FRALDAS S4,0.9780183137339297
gid://shopify/Product/8621418545493,TAPA FRALDAS S3,gid://shopify/Product/8621403341141,TAPA FRALDAS S1,0.9780183137339297
