feature_name,source
variant_other_tamanho:BORDEAUX / L,Variant option dummy variable
variant_other_tamanho:BORDEAUX / M,Variant option dummy variable
variant_other_tamanho:CINZA / L,Variant option dummy variable
variant_other_tamanho:CINZA / M,Variant option dummy variable
variant_other_tamanho:CINZA / S,Variant option dummy variable
variant_other_tamanho:L,Variant option dummy variable
variant_other_tamanho:M,Variant option dummy variable
variant_other_tamanho:M/L,Variant option dummy variable
variant_other_tamanho:PRETO / L,Variant option dummy variable
variant_other_tamanho:PRETO / M,Variant option dummy variable
variant_other_tamanho:PRETO / S,Variant option dummy variable
variant_other_tamanho:ROSA / L,Variant option dummy variable
variant_other_tamanho:ROSA / M,Variant option dummy variable
variant_other_tamanho:ROSA / S,Variant option dummy variable
variant_other_tamanho:S,Variant option dummy variable
variant_other_tamanho:S/M,Variant option dummy variable
variant_other_tamanho:XL,Variant option dummy variable
variant_other_tamanho:XS,Variant option dummy variable
variant_other_title:Default Title,Variant option dummy variable
description_100,TF-IDF from product descriptions
description_100 algodão,TF-IDF from product descriptions
description_105x150cm,TF-IDF from product descriptions
description_125x60cm,TF-IDF from product descriptions
description_15x15cm,TF-IDF from product descriptions
description_2020,TF-IDF from product descriptions
description_2020 cueca,TF-IDF from product descriptions
description_2020 soutien,TF-IDF from product descriptions
description_2020 tanga,TF-IDF from product descriptions
description_2022,TF-IDF from product descriptions
description_2022 23,TF-IDF from product descriptions
description_2022 lenço,TF-IDF from product descriptions
description_2022 satin,TF-IDF from product descriptions
description_2023,TF-IDF from product descriptions
description_2023 24,TF-IDF from product descriptions
description_2023 31,TF-IDF from product descriptions
description_2023 fato,TF-IDF from product descriptions
description_2023 mix,TF-IDF from product descriptions
description_2024,TF-IDF from product descriptions
description_2024 30,TF-IDF from product descriptions
description_2024 beach,TF-IDF from product descriptions
description_2024 biquíni,TF-IDF from product descriptions
description_2024 colecção,TF-IDF from product descriptions
description_2024 coleção,TF-IDF from product descriptions
description_2024 fato,TF-IDF from product descriptions
description_2024 fita,TF-IDF from product descriptions
description_2024 jumpsuit,TF-IDF from product descriptions
description_2024 kimono,TF-IDF from product descriptions
description_2024 máscara,TF-IDF from product descriptions
description_2024 rj,TF-IDF from product descriptions
description_2024 ss,TF-IDF from product descriptions
description_2024 triquíni,TF-IDF from product descriptions
description_2024 vestido,TF-IDF from product descriptions
description_22,TF-IDF from product descriptions
description_22 23,TF-IDF from product descriptions
description_22 elástico,TF-IDF from product descriptions
description_23,TF-IDF from product descriptions
description_23 24,TF-IDF from product descriptions
description_23 acessórios,TF-IDF from product descriptions
description_23 calças,TF-IDF from product descriptions
description_23 crop,TF-IDF from product descriptions
description_23 desporto,TF-IDF from product descriptions
description_23 elástico,TF-IDF from product descriptions
description_23 hoodie,TF-IDF from product descriptions
description_23 satin,TF-IDF from product descriptions
description_23 sweatshirt,TF-IDF from product descriptions
description_24,TF-IDF from product descriptions
description_24 acessórios,TF-IDF from product descriptions
description_24 activewear,TF-IDF from product descriptions
description_24 calças,TF-IDF from product descriptions
description_24 calções,TF-IDF from product descriptions
description_24 padel,TF-IDF from product descriptions
description_24 pijama,TF-IDF from product descriptions
description_24 robe,TF-IDF from product descriptions
description_26,TF-IDF from product descriptions
description_26 novembro,TF-IDF from product descriptions
description_30,TF-IDF from product descriptions
description_30 junho,TF-IDF from product descriptions
description_300g,TF-IDF from product descriptions
description_300g disponível,TF-IDF from product descriptions
description_31,TF-IDF from product descriptions
description_31 março,TF-IDF from product descriptions
description_32,TF-IDF from product descriptions
description_32 polyester,TF-IDF from product descriptions
description_40x30x18cm,TF-IDF from product descriptions
description_47x35x15,TF-IDF from product descriptions
description_47x35x15 nota,TF-IDF from product descriptions
description_64,TF-IDF from product descriptions
description_64 cupro,TF-IDF from product descriptions
description_70x70cm,TF-IDF from product descriptions
