feature_name,source
description_24 meses,TF-IDF from product descriptions
description_24 padel,TF-IDF from product descriptions
description_24meses,TF-IDF from product descriptions
description_24meses 48meses,TF-IDF from product descriptions
description_25,TF-IDF from product descriptions
description_25 calças,TF-IDF from product descriptions
description_25 calções,TF-IDF from product descriptions
description_25 crop,TF-IDF from product descriptions
description_25 hoodie,TF-IDF from product descriptions
description_25 shirt,TF-IDF from product descriptions
description_25 sweatshirt,TF-IDF from product descriptions
description_300g,TF-IDF from product descriptions
description_300g disponível,TF-IDF from product descriptions
description_31,TF-IDF from product descriptions
description_31 março,TF-IDF from product descriptions
description_32,TF-IDF from product descriptions
description_32 polyester,TF-IDF from product descriptions
description_47x35x15,TF-IDF from product descriptions
description_47x35x15 nota,TF-IDF from product descriptions
description_48,TF-IDF from product descriptions
description_48 meses,TF-IDF from product descriptions
description_48meses,TF-IDF from product descriptions
description_64,TF-IDF from product descriptions
description_64 cupro,TF-IDF from product descriptions
description_70x70cm,TF-IDF from product descriptions
description_aberto,TF-IDF from product descriptions
description_aberto em,TF-IDF from product descriptions
description_acesso,TF-IDF from product descriptions
description_acesso quaisquer,TF-IDF from product descriptions
description_acessório,TF-IDF from product descriptions
description_acessório em,TF-IDF from product descriptions
description_acessórios,TF-IDF from product descriptions
description_acessórios fw,TF-IDF from product descriptions
description_acessórios rj,TF-IDF from product descriptions
description_acessórios ss,TF-IDF from product descriptions
description_acetinado,TF-IDF from product descriptions
description_acetinado disponível,TF-IDF from product descriptions
description_acolchoado,TF-IDF from product descriptions
description_acolchoado com,TF-IDF from product descriptions
description_activewear,TF-IDF from product descriptions
description_activewear collection,TF-IDF from product descriptions
description_adaptável,TF-IDF from product descriptions
description_adaptável ao,TF-IDF from product descriptions
description_adaptável justo,TF-IDF from product descriptions
description_ajustar,TF-IDF from product descriptions
